Товар,Категория,Бренд,Дата обновления,Склады
Проводник заземления плоский луженый ПЗ 25-400 (2 шт. упак) ТDM (кр.2шт) [SQ0839-0023],Системы молниезащиты и заземления,TDM ELECTRIC,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-1000-S2-3P-85-F-MR8.0-B-C2200-M2-P00-S1-09(кр.1шт) [102385F8B22200019],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-2000-S2-3P-85-F-MR8.0-B-C2200-M2-P00-S1-09(кр.1шт) [202385F8B22200019],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-1600-S2-3P-85-D-MR8.0-B-C2200-M2-P01-S1-09(кр.1шт) [162385D8B22200119],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Воздушный автоматический выключатель YON AD-3200-S4-3P-100-D-MR8.0-B-C2200-M2-P01-S1-09 выкатной, 3200А, 100kA, LSIG, управление220V AC/DC, доп. конт. 6a+6b, рамка на дверь.(кр.1шт) [3243100D8B22200119]",Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Воздушный автоматический выключатель YON AD-1000-S2-3P-85-D-MR8.0-B-C2200-M2-P01-S1-09(кр.1шт) [102385D8B22200119],Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Воздушный автоматический выключатель YON AD-4000-S4-3P-100-D-MR8.0-B-C2200-M2-P01-S1-09 выкатной, 4000А, 100kA, LSIG, управление220V AC/DC, доп. конт. 6a+6b, рамка на дверь.(кр.1шт) [4043100D8B22200119]",Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Воздушный автоматический выключатель YON AD-2500-S4-3P-100-D-MR8.0-B-C2200-M2-P01-S1-09 выкатной, 2500А, 100kA, LSIG, управление220V AC/DC, доп. конт. 6a+6b, рамка на дверь.(кр.1шт) [2543100D8B22200119]",Оборудование защитно-коммутационное,ДКС-диэлектрические кабельные системы,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-1/3 160А 100kA ETU6.0 EKF AVERES(кр.1шт) [mccb-13-160H-6.0-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-5/3 1250А 70kA ETU4.2 EKF AVERES(кр.1шт) [mccb-53-1250M-4.2-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
