Товар,Категория,Бренд,Дата обновления,Склады
Автоматический выключатель ВА88-32М ЭРА PRO SVA10-3-0100-E 3Р 100А 25кА(кр.1шт) [Б0051913],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-37М ЭРА PRO SVA40-3-0400-E 3Р 400А 35кА(кр.1шт) [Б0051945],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-33М ЭРА PRO SVA20-3-0063-E 3Р 63А 35кА(кр.1шт) [Б0051919],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-32М ЭРА PRO SVA10-3-0025-E 3Р 25А 25кА(кр.1шт) [Б0051907],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-32М ЭРА PRO SVA10-3-0125-E 3Р 125А 25кА(кр.1шт) [Б0051914],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Б0051918 Автоматический выключатель ВА88-33М ЭРА PRO SVA20-3-0050-E 3Р 50А 35кА(кр.1шт),Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-35М ЭРА PRO SVA30-3-0160-E 3Р 160А 35кА(кр.1шт) [Б0051930],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-35М ЭРА PRO SVA30-3-0125-E 3Р 125А 35кА(кр.1шт) [Б0051927],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-33М ЭРА PRO SVA20-3-0040-E 3Р 40А 35кА(кр.1шт) [Б0051917],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель ВА88-33М ЭРА PRO SVA20-3-0125-E 3Р 125А 35кА(кр.1шт) [Б0051922],Оборудование защитно-коммутационное,Эра,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-99C (Compact NS) 1250/ 800А 3P 50кА EKF PROxima(кр.1шт) [mccb99C-1250-800],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-99М 100/125А 3P 35кА EKF PROxima(кр.1шт) [mccb99-100-125m],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-99C (Compact NS) 630/400А 3P 45кА EKF PROxima(кр.4шт) [mccb99c-630-400],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический 3п 100/100А 50кА ВА-99М PROxima электр. расцеп. mccb99-100-100me,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 17809.04}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 17809.04}, 'availability': {'quantity': 18, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 17809.04}, 'availability': {'quantity': 3, 'min_order': 1, 'lead_time': '10 дней'}}]"
Выключатель автоматический 3п 100/40А 35кА ВА-99М PROxima mccb99-100-40m,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 3991.78}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'2': 3991.78}, 'availability': {'quantity': 19, 'min_order': 2, 'lead_time': '10 дней'}}]"
Выключатель автоматический ВА21-29-220010-2А-12Iн-400AC-З/П-У3-КЭАЗ (кр.1шт) [100354],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-221110-5А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [102140],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-120010-63А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [100572],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-120010-63А-1,5Iн-400AC-У3-КЭАЗ (кр.1шт) [103030]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-120010-6,3А-3Iн-400AC-З/П-У3-КЭАЗ (кр.1шт) [103034]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-240010-50А-12Iн-400AC-У3-КЭАЗ (кр.1шт) [101332],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-240010-25А-6Iн-440DC-У3-КЭАЗ (кр.1шт) [100420],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-240010-16А-12Iн-400AC-IP54-У2-КЭАЗ (кр.1шт) [102082],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-220010-20А-6Iн-440DC-З/П-У3-КЭАЗ (кр.1шт) [100892],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29-220010-20А-3Iн-440DC-У3-КЭАЗ (кр.1шт) [100357],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-140010-6,3А-12Iн-400AC-З/П-У3-КЭАЗ (кр.1шт) [103049]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
"Выключатель автоматический ВА21-29-140010-1,6А-6Iн-400AC-З/П-У3-КЭАЗ (кр.1шт) [100395]",Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-320016-50А-3Iн-690AC-У3-КЭАЗ (кр.1шт) [268135],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА21-29В-320016-10А-3Iн-690AC-У3-КЭАЗ (кр.1шт) [268136],Оборудование защитно-коммутационное,КЭАЗ,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический 3п 100/16А 36кА ВА-99C Compact NS PROxima mccb99C-100-16,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 20, 'min_order': 1, 'lead_time': '10 дней'}}]"
mccb-43-700-TR-av Автоматический выключатель AV POWER-4/3 700А 35kA TR(кр.1шт),Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-4/3 1000А 50kA ETU6.0(кр.1шт) [mccb-43-1000-6.0-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-4/3 1000А 50kA ETU2.2(кр.1шт) [mccb-43-1000-2.2-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 14:05:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
mccb450-1600-1600v Автоматический выключатель ВА-450 1600/1600А 3P 55кА выкатной EKF(кр.1шт),Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
mccb450-1600-800 Автоматический выключатель ВА-450 1600/ 800А 3P 55кА стационарный EKF(кр.1ш,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
mccb450-1600-800v Автоматический выключатель ВА-450 1600/ 800А 3P 55кА выкатной EKF(кр.1шт),Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
mccb450-1600-630 Автоматический выключатель ВА-450 1600/ 630А 3P 55кА стационарный EKF(кр.1ш,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-45 3200/3200 3P 80кА выкатной EKF PROxima(кр.1шт) [mccb45-3200-3200v],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-45 2000/1000 3P 50кА выкатной EKF PROxima(кр.1шт) [mccb45-2000-1000v],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-45 2000/ 630А 3P 50кА выкатной EKF PROxima(кр.1шт) [mccb45-2000-630v],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-45 3200/3200 3P 80кА стационарный EKF PROxima(кр.1шт) [mccb45-3200-3200],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-45 3200/2000 3P 80кА стационарный EKF PROxima(кр.1шт) [mccb45-3200-2000],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-45 2000/1600 3P 50кА стационарный EKF PROxima(кр.1шт) [mccb45-2000-1600],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-45 2000/1000 3P 50кА стационарный EKF PROxima(кр.1шт) [mccb45-2000-1000],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-99C (Compact NS) 400/400А 3P 45кА EKF PROxima(кр.1шт) [mccb99C-400-400],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический ВА-99C (Compact NS) 400/315А 3P 45кА EKF PROxima(кр.1шт) [mccb99C-400-315],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический 3п 160/100А 36кА ВА-99C Compact NS PROxima mccb99C-160-100,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 13285.8}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 13285.8}, 'availability': {'quantity': 25, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 13285.8}, 'availability': {'quantity': 30, 'min_order': 1, 'lead_time': '10 дней'}}]"
Выключатель автоматический ВА-99C (Compact NS) 160/ 63А 3P 36кА EKF PROxima(кр.1шт) [mccb99C-160-63],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический 3п 100/63А 36кА ВА-99C Compact NS PROxima mccb99C-100-63,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 22, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 30, 'min_order': 1, 'lead_time': '10 дней'}}]"
Выключатель автоматический ВА-99C (Compact NS) 100/ 50А 3P 36кА EKF PROxima(кр.1шт) [mccb99C-100-50],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический 3п 100/40А 36кА ВА-99C Compact NS PROxima mccb99C-100-40,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 20, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 20, 'min_order': 1, 'lead_time': '10 дней'}}]"
Выключатель автоматический 3п 100/32А 36кА ВА-99C Compact NS PROxima mccb99C-100-32,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 20, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 12395.69}, 'availability': {'quantity': 30, 'min_order': 1, 'lead_time': '10 дней'}}]"
Выключатель автоматический ВА-99М 250/225А 3P 35кА EKF PROxima(кр.1шт) [mccb99-250-225m],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический 3п 63/32А 25кА ВА-99М PROxima mccb99-63-32m,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 3718.71}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'2': 3718.71}, 'availability': {'quantity': 20, 'min_order': 2, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'2': 3718.71}, 'availability': {'quantity': 18, 'min_order': 2, 'lead_time': '10 дней'}}]"
Выключатель автоматический 3п 63/16А 25кА ВА-99М PROxima mccb99-63-16m,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 3541.63}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'2': 3541.63}, 'availability': {'quantity': 18, 'min_order': 2, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'2': 3541.63}, 'availability': {'quantity': 20, 'min_order': 2, 'lead_time': '10 дней'}}]"
Автоматический выключатель AV POWER-3/3 400А 50kA ETU2.2(кр.1шт) [mccb-33-400-2.2-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-3/3 250А 35kA TR(кр.1шт) [mccb-33-250-TR-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
mccb-23-250-2.2-av Автоматический выключатель AV POWER-2/3 250А 50kA ETU2.2(кр.1шт),Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Автоматический выключатель AV POWER-2/3 125А 35kA TR(кр.1шт) [mccb-23-125-TR-av],Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 14:05:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}]"
Выключатель автоматический 3п 80А 35кА AV POWER-1/3 TR AVERES mccb-13-80-TR-av,Оборудование защитно-коммутационное,EKF electrotechnica,2024-05-11 13:10:00,"[{'name': 'Салон-магазин «Радиодетали». Екатеринбург, ул. Колмогорова, д. 70', 'prices': {}, 'availability': {'quantity': 0, 'min_order': 0, 'lead_time': 'Нет в наличии'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 14014.1}, 'availability': {'quantity': 10, 'min_order': 1, 'lead_time': '3 дня'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 14014.1}, 'availability': {'quantity': 28, 'min_order': 1, 'lead_time': '10 дней'}}, {'name': 'Внешние склады, поставка под заказ', 'prices': {'1': 14014.1}, 'availability': {'quantity': 30, 'min_order': 1, 'lead_time': '10 дней'}}]"
